Plant Name,State,Capacity (MW),Operator
Bokaro Thermal Power Station,Jharkhand,710,DVC
Kanti Thermal Power Station,Bihar,610,NTPC
Sagardighi Thermal Power Station,West Bengal,1600,WBPDCL
Talcher Thermal Power Station,Odisha,460,NTPC
Bandel Thermal Power Station,West Bengal,450,WBPDCL
Jojobera Thermal Power Plant,Jharkhand,427.5,Tata Power
Tenughat Thermal Power Station,Jharkhand,420,TVNL
Hirakud Captive Power Plant,Odisha,367.5,Hindalco Industries
Durgapur Thermal Power Station,West Bengal,210,DVC
Titagarh Thermal Power Station,West Bengal,240,CESCL
CESC Southern Generating Station,West Bengal,135,CESCL
New Cossipore Generating Station,West Bengal,100,CESCL
NTPC Ramagundam,Telangana,2600,NTPC
Simhadri Super Thermal Power Plant,Andhra Pradesh,2000,NTPC
Neyveli Thermal Power Station II,Tamil Nadu,1970,NLC
Dr Narla Tatarao TPS,Andhra Pradesh,2560,APGENCO
Raichur Thermal Power Station,Karnataka,1720,KPCL
Kothagudem Thermal Power Station,Telangana,1800,TSGENCO
Sri Damodaram Sanjeevaiah Thermal Power Station,Andhra Pradesh,2400,APPDCL
Vallur Thermal Power Station,Tamil Nadu,1500,NTPC & TNEB
Sembcorp Gayatri Power Complex,Andhra Pradesh,2640,SGPC
Udupi Power Plant,Karnataka,1200,Adani Power
Singareni Thermal Power Plant,Telangana,1200,Singareni Collieries Company
Adani Thermal Power Plant,Jharkhand,1320,Adani Power Jharkhand Limited
Tuticorin Thermal Power Station,Tamil Nadu,1050,TNEB
Rayalaseema Thermal Power Station,Andhra Pradesh,1650,APGENCO
Neyveli Thermal Power Station I,Tamil Nadu,420,NLC
NTPL Thermal Power Station,Tamil Nadu,1000,NLC & TNEB
JSW Vijayanagar Power Station,Karnataka,860,JSW Energy
Mettur Thermal Power Station,Tamil Nadu,1440,TNEB
North Chennai Thermal Power Station,Tamil Nadu,1830,TNEB
Mutiara Thermal Power Plant,Tamil Nadu,1200,Coastal Energen Private Limited (CEPL)
Cuddalore IL&FS Thermal Power Station,Tamil Nadu,1200,IL&FS Tamil Nadu Power Company Limited (ITPCL)
Simhapuri Thermal Power Station,Andhra Pradesh,600,Simhapuri Energy Limited
Hinduja Thermal Power Station,Andhra Pradesh,1040,Hinduja National Power Corporation Limited
Kakatiya Thermal Power Station,Telangana,500,TSGENCO
Bellary Thermal Power station,Karnataka,1700,KPCL
Yermarus Thermal Power Station,Karnataka,1600,KPCL
Ennore Thermal Power Station,Tamil Nadu,N/A,TNEB
Ind-Barath Thermal Power Plant,Tamil Nadu,300,Ind-Barath Power Infra Limited
Meenakshi Power Plant,Andhra Pradesh,300,MEPL
Neyveli Zero Lignite Power Station,Tamil Nadu,250,TAQA
Ramagundam B Thermal Power Station,Telangana,62.5,TSGENCO
